gfx.PutPixel(3 + x, 0 + y, 151, 151, 151);
gfx.PutPixel(4 + x, 0 + y, 255, 255, 255);
gfx.PutPixel(5 + x, 0 + y, 159, 159, 159);
gfx.PutPixel(2 + x, 1 + y, 48, 48, 48);
gfx.PutPixel(3 + x, 1 + y, 239, 239, 239);
gfx.PutPixel(4 + x, 1 + y, 215, 215, 215);
gfx.PutPixel(5 + x, 1 + y, 159, 159, 159);
gfx.PutPixel(2 + x, 2 + y, 195, 195, 195);
gfx.PutPixel(3 + x, 2 + y, 120, 120, 120);
gfx.PutPixel(4 + x, 2 + y, 191, 191, 191);
gfx.PutPixel(5 + x, 2 + y, 159, 159, 159);
gfx.PutPixel(1 + x, 3 + y, 88, 88, 88);
gfx.PutPixel(2 + x, 3 + y, 219, 219, 219);
gfx.PutPixel(3 + x, 3 + y, 8, 8, 8);
gfx.PutPixel(4 + x, 3 + y, 191, 191, 191);
gfx.PutPixel(5 + x, 3 + y, 159, 159, 159);
gfx.PutPixel(0 + x, 4 + y, 8, 8, 8);
gfx.PutPixel(1 + x, 4 + y, 223, 223, 223);
gfx.PutPixel(2 + x, 4 + y, 76, 76, 76);
gfx.PutPixel(4 + x, 4 + y, 191, 191, 191);
gfx.PutPixel(5 + x, 4 + y, 159, 159, 159);
gfx.PutPixel(0 + x, 5 + y, 128, 128, 128);
gfx.PutPixel(1 + x, 5 + y, 183, 183, 183);
gfx.PutPixel(4 + x, 5 + y, 191, 191, 191);
gfx.PutPixel(5 + x, 5 + y, 159, 159, 159);
gfx.PutPixel(0 + x, 6 + y, 247, 247, 247);
gfx.PutPixel(1 + x, 6 + y, 135, 135, 135);
gfx.PutPixel(2 + x, 6 + y, 96, 96, 96);
gfx.PutPixel(3 + x, 6 + y, 96, 96, 96);
gfx.PutPixel(4 + x, 6 + y, 215, 215, 215);
gfx.PutPixel(5 + x, 6 + y, 195, 195, 195);
gfx.PutPixel(6 + x, 6 + y, 92, 92, 92);
gfx.PutPixel(0 + x, 7 + y, 159, 159, 159);
gfx.PutPixel(1 + x, 7 + y, 159, 159, 159);
gfx.PutPixel(2 + x, 7 + y, 159, 159, 159);
gfx.PutPixel(3 + x, 7 + y, 159, 159, 159);
gfx.PutPixel(4 + x, 7 + y, 231, 231, 231);
gfx.PutPixel(5 + x, 7 + y, 219, 219, 219);
gfx.PutPixel(6 + x, 7 + y, 159, 159, 159);
gfx.PutPixel(4 + x, 8 + y, 191, 191, 191);
gfx.PutPixel(5 + x, 8 + y, 159, 159, 159);
gfx.PutPixel(4 + x, 9 + y, 187, 187, 187);
gfx.PutPixel(5 + x, 9 + y, 159, 159, 159);
