gfx.PutPixel(7 + x, 0 + y, 16, 16, 16);
gfx.PutPixel(8 + x, 0 + y, 24, 24, 24);
gfx.PutPixel(6 + x, 1 + y, 88, 88, 88);
gfx.PutPixel(7 + x, 1 + y, 242, 242, 242);
gfx.PutPixel(8 + x, 1 + y, 171, 171, 171);
gfx.PutPixel(5 + x, 2 + y, 16, 16, 16);
gfx.PutPixel(6 + x, 2 + y, 186, 186, 186);
gfx.PutPixel(7 + x, 2 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 2 + y, 255, 255, 255);
gfx.PutPixel(9 + x, 2 + y, 56, 56, 56);
gfx.PutPixel(5 + x, 3 + y, 147, 147, 147);
gfx.PutPixel(6 + x, 3 + y, 255, 255, 255);
gfx.PutPixel(7 + x, 3 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 3 + y, 255, 255, 255);
gfx.PutPixel(9 + x, 3 + y, 195, 195, 195);
gfx.PutPixel(4 + x, 4 + y, 40, 40, 40);
gfx.PutPixel(5 + x, 4 + y, 251, 251, 251);
gfx.PutPixel(6 + x, 4 + y, 255, 255, 255);
gfx.PutPixel(7 + x, 4 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 4 + y, 244, 244, 244);
gfx.PutPixel(9 + x, 4 + y, 255, 255, 255);
gfx.PutPixel(10 + x, 4 + y, 80, 80, 80);
gfx.PutPixel(3 + x, 5 + y, 4, 4, 4);
gfx.PutPixel(4 + x, 5 + y, 183, 183, 183);
gfx.PutPixel(5 + x, 5 + y, 255, 255, 255);
gfx.PutPixel(6 + x, 5 + y, 231, 231, 231);
gfx.PutPixel(7 + x, 5 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 5 + y, 178, 178, 178);
gfx.PutPixel(9 + x, 5 + y, 255, 255, 255);
gfx.PutPixel(10 + x, 5 + y, 219, 219, 219);
gfx.PutPixel(11 + x, 5 + y, 4, 4, 4);
gfx.PutPixel(3 + x, 6 + y, 72, 72, 72);
gfx.PutPixel(4 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(5 + x, 6 + y, 231, 231, 231);
gfx.PutPixel(6 + x, 6 + y, 139, 139, 139);
gfx.PutPixel(7 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 6 + y, 130, 130, 130);
gfx.PutPixel(9 + x, 6 + y, 211, 211, 211);
gfx.PutPixel(10 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(11 + x, 6 + y, 108, 108, 108);
gfx.PutPixel(27 + x, 6 + y, 236, 236, 236);
gfx.PutPixel(28 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(29 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(30 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(31 + x, 6 + y, 110, 110, 110);
gfx.PutPixel(34 + x, 6 + y, 218, 218, 218);
gfx.PutPixel(35 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(36 + x, 6 + y, 255, 255, 255);
gfx.PutPixel(37 + x, 6 + y, 236, 236, 236);
gfx.PutPixel(2 + x, 7 + y, 4, 4, 4);
gfx.PutPixel(3 + x, 7 + y, 215, 215, 215);
gfx.PutPixel(4 + x, 7 + y, 255, 255, 255);
gfx.PutPixel(5 + x, 7 + y, 96, 96, 96);
gfx.PutPixel(6 + x, 7 + y, 128, 128, 128);
gfx.PutPixel(7 + x, 7 + y, 255, 255, 255);
gfx.PutPixel(8 + x, 7 + y, 128, 128, 128);
gfx.PutPixel(9 + x, 7 + y, 76, 76, 76);
gfx.PutPixel(10 + x, 7 + y, 255, 255, 255);
gfx.PutPixel(11 + x, 7 + y, 235, 235, 235);
gfx.PutPixel(12 + x, 7 + y, 16, 16, 16);
